Transaction_ID,Date,Cost_Center,GL_Account_Name,Account_Category,Vendor_Name,Budget_INR,Actual_INR
GL-232983,2024-04-12,Supply Chain Services,Employee Benefit Expenses,OPEX,Blue Yonder,411077.68,426223.42
GL-718657,2024-04-01,Supply Chain Services,Cloud Hosting (Orion Platform),OPEX,AWS India,221843.11,244177.11
GL-870393,2024-10-03,Corporate HQ,Line-haul Costs (Fuel & Tolls),OPEX,Indian Oil Corp,82089.22,111739.75
GL-201811,2025-02-21,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,Indian Oil Corp,450791.27,429203.53
GL-771728,2024-07-08,Part Truckload (PTL),Cloud Hosting (Orion Platform),OPEX,Prologis Warehousing,264568.5,278507.37
GL-246780,2024-07-01,Part Truckload (PTL),Material Handling Equipment (AGVs),CAPEX,Reliance BP Mobility,352496.38,369739.72
GL-385839,2025-02-22,Supply Chain Services,Freight Handling & Contract Labor,OPEX,Reliance BP Mobility,451124.52,431021.26
GL-959818,2024-08-26,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Blue Yonder,181568.91,176044.74
GL-921750,2026-03-16,Express Parcel (B2C),Automated Sorter Systems,CAPEX,Local Fleet Operator B,173746.95,176339.53
GL-648289,2025-11-19,Express Parcel (B2C),Employee Benefit Expenses,OPEX,Reliance BP Mobility,66018.63,66164.49
GL-157615,2025-04-25,Part Truckload (PTL),Line-haul Costs (Fuel & Tolls),OPEX,AWS India,181211.63,184831.51
GL-824539,2024-11-09,Part Truckload (PTL),Automated Sorter Systems,CAPEX,Blue Yonder,162726.8,154606.49
GL-791266,2024-05-02,Part Truckload (PTL),Freight Handling & Contract Labor,OPEX,AWS India,423671.06,420449.06
GL-875303,2024-09-14,Express Parcel (B2C),Cloud Hosting (Orion Platform),OPEX,Vanderlande Sorters,303821.98,330753.49
GL-681068,2024-07-14,Express Parcel (B2C),Cloud Hosting (Orion Platform),OPEX,Indian Oil Corp,256093.28,290769.27
GL-710646,2025-05-27,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Reliance BP Mobility,204828.99,208131.64
GL-158299,2024-09-29,Express Parcel (B2C),Employee Benefit Expenses,OPEX,Indian Oil Corp,445110.91,451816.31
GL-586079,2024-10-31,Cross-Border,Automated Sorter Systems,CAPEX,AWS India,342428.3,330566.88
GL-577580,2025-04-16,Part Truckload (PTL),IT Infrastructure (Servers),CAPEX,Reliance BP Mobility,329547.27,334808.52
GL-592559,2025-09-20,Cross-Border,Freight Handling & Contract Labor,OPEX,Reliance BP Mobility,387513.11,373669.27
GL-227804,2024-08-14,Cross-Border,Employee Benefit Expenses,OPEX,Local Fleet Operator A,425096.99,432027.71
GL-671319,2025-11-24,Supply Chain Services,Freight Handling & Contract Labor,OPEX,Indian Oil Corp,352889.7,362558.56
GL-780524,2025-10-21,Corporate HQ,Employee Benefit Expenses,OPEX,Blue Yonder,328260.3,321126.56
GL-738411,2025-02-12,Part Truckload (PTL),Automated Sorter Systems,CAPEX,Local Fleet Operator A,406670.71,390119.38
GL-206126,2024-12-04,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,AWS India,275739.14,362973.45
GL-327965,2025-08-03,Part Truckload (PTL),Employee Benefit Expenses,OPEX,AWS India,357101.55,349887.85
GL-262214,2025-04-24,Cross-Border,Freight Handling & Contract Labor,OPEX,AWS India,153755.18,159017.82
GL-907724,2025-02-11,Express Parcel (B2C),Cloud Hosting (Orion Platform),OPEX,Reliance BP Mobility,381694.83,437980.11
GL-763053,2024-10-15,Part Truckload (PTL),Freight Handling & Contract Labor,OPEX,AWS India,45145.04,44978.1
GL-182939,2024-05-02,Supply Chain Services,Cloud Hosting (Orion Platform),OPEX,Reliance BP Mobility,436592.18,458951.87
GL-113437,2025-03-22,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,Reliance BP Mobility,435218.57,438871.55
GL-255617,2025-11-07,Part Truckload (PTL),Line-haul Costs (Fuel & Tolls),OPEX,AWS India,234645.44,286490.13
GL-966034,2024-04-14,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Vanderlande Sorters,183388.15,185085.58
GL-617731,2024-08-08,Supply Chain Services,Freight Handling & Contract Labor,OPEX,Local Fleet Operator B,323571.23,339149.54
GL-245699,2025-04-24,Corporate HQ,Cloud Hosting (Orion Platform),OPEX,Local Fleet Operator A,268882.62,293484.59
GL-824063,2024-10-17,Express Parcel (B2C),Automated Sorter Systems,CAPEX,Local Fleet Operator A,473802.16,452445.5
GL-789530,2025-09-28,Supply Chain Services,Employee Benefit Expenses,OPEX,Prologis Warehousing,70398.84,71963.46
GL-300795,2025-04-07,Supply Chain Services,Material Handling Equipment (AGVs),CAPEX,Amazon Web Serv,464157.87,472231.71
GL-566711,2025-08-21,Cross-Border,Employee Benefit Expenses,OPEX,Indian Oil Corp,180280.95,182128.4
GL-205550,2025-02-14,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Blue Yonder,19807.59,19532.8
GL-109067,2025-08-20,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Prologis Warehousing,39864.05,39608.91
GL-618353,2026-01-01,Part Truckload (PTL),IT Infrastructure (Servers),CAPEX,AWS India,68093.18,69268.77
GL-513889,2025-04-06,Part Truckload (PTL),IT Infrastructure (Servers),CAPEX,Blue Yonder,152081.37,155032.61
GL-328316,2024-12-25,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,AWS India,57429.43,56015.39
GL-493407,2024-06-18,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Indian Oil Corp,104174.04,106894.82
GL-138984,2026-01-17,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Vanderlande Sorters,212355.09,217521.19
GL-104302,2025-08-08,Part Truckload (PTL),Facility Leases (Hubs & Gateways),OPEX,Prologis Warehousing,483508.51,473717.27
GL-526945,2024-07-22,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Prologis Warehousing,326038.74,317720.16
GL-338458,2024-09-27,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Blue Yonder,200076.92,191242.62
GL-398690,2026-01-08,Part Truckload (PTL),Freight Handling & Contract Labor,OPEX,Local Fleet Operator B,59041.36,61928.71
GL-819694,2024-11-23,Express Parcel (B2C),Automated Sorter Systems,CAPEX,Prologis Warehousing,234582.45,244130.62
GL-101427,2024-09-02,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Reliance BP Mobility,256148.72,246600.32
GL-882003,2025-12-21,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Prologis Warehousing,381099.22,397812.96
GL-631784,2024-08-03,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Reliance BP Mobility,193983.1,196404.98
GL-795282,2026-02-23,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Blue Yonder,268479.16,263447.91
GL-183719,2024-04-25,Corporate HQ,Material Handling Equipment (AGVs),CAPEX,Local Fleet Operator B,149340.92,145759.75
GL-419516,2025-08-22,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Blue Yonder,358493.34,351032.03
GL-542113,2025-08-24,Express Parcel (B2C),Employee Benefit Expenses,OPEX,Vanderlande Sorters,494255.42,475015.46
GL-435808,2025-10-12,Supply Chain Services,Material Handling Equipment (AGVs),CAPEX,Local Fleet Operator B,237769.84,240152.45
GL-123835,2025-01-28,Express Parcel (B2C),Automated Sorter Systems,CAPEX,Vanderlande Sorters,370267.45,385520.0
GL-917812,2024-05-26,Supply Chain Services,IT Infrastructure (Servers),CAPEX,AWS India,357300.21,370092.21
GL-513565,2024-08-20,Corporate HQ,Cloud Hosting (Orion Platform),OPEX,Indian Oil Corp,369603.47,402523.02
GL-309930,2025-05-10,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Indian Oil Corp,127114.14,126070.8
GL-838887,2025-11-08,Part Truckload (PTL),IT Infrastructure (Servers),CAPEX,Vanderlande Sorters,442585.43,437704.41
GL-754456,2024-12-12,Part Truckload (PTL),Freight Handling & Contract Labor,OPEX,Prologis Warehousing,293647.31,293887.05
GL-933369,2024-05-06,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Local Fleet Operator B,42941.25,44925.36
GL-367540,2025-01-25,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,AWS India,208044.05,212019.35
GL-935766,2024-06-09,Express Parcel (B2C),Employee Benefit Expenses,OPEX,Local Fleet Operator A,118970.21,115221.77
GL-917679,2024-12-31,Corporate HQ,Freight Handling & Contract Labor,OPEX,AWS India,418167.48,423308.64
GL-848483,2025-03-01,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,AWS India,288653.8,276973.12
GL-927576,2025-04-18,Part Truckload (PTL),Line-haul Costs (Fuel & Tolls),OPEX,Amazon Web Serv,368410.59,352996.97
GL-742706,2025-04-13,Supply Chain Services,Cloud Hosting (Orion Platform),OPEX,AWS India,43834.82,48767.35
GL-907685,2025-04-18,Supply Chain Services,Employee Benefit Expenses,OPEX,Reliance BP Mobility,438158.43,422952.89
GL-497458,2026-03-04,Express Parcel (B2C),Automated Sorter Systems,CAPEX,Blue Yonder,149094.95,146980.35
GL-300636,2025-10-20,Supply Chain Services,Cloud Hosting (Orion Platform),OPEX,Prologis Warehousing,187960.01,197383.14
GL-108939,2025-06-16,Supply Chain Services,Cloud Hosting (Orion Platform),OPEX,Prologis Warehousing,464855.8,494583.02
GL-107530,2026-04-01,Express Parcel (B2C),Cloud Hosting (Orion Platform),OPEX,Indian Oil Corp,314127.97,343211.25
GL-118753,2024-11-27,Express Parcel (B2C),IT Infrastructure (Servers),CAPEX,Blue Yonder,363974.02,349167.92
GL-567095,2025-05-07,Cross-Border,Line-haul Costs (Fuel & Tolls),OPEX,Prologis Warehousing,254248.15,242466.89
GL-497519,2025-07-10,Supply Chain Services,Automated Sorter Systems,CAPEX,Local Fleet Operator B,354679.24,370892.42
GL-659361,2025-08-18,Cross-Border,Employee Benefit Expenses,OPEX,Local Fleet Operator A,288753.77,289369.37
GL-658905,2025-01-16,Corporate HQ,Cloud Hosting (Orion Platform),OPEX,Local Fleet Operator B,404678.46,426815.06
GL-280179,2026-02-09,Part Truckload (PTL),IT Infrastructure (Servers),CAPEX,Prologis Warehousing,238255.37,249044.26
GL-120530,2024-07-01,Corporate HQ,Freight Handling & Contract Labor,OPEX,Indian Oil Corp,170179.88,178528.99
GL-857973,2024-04-03,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Vanderlande Sorters,191118.04,186612.89
GL-571899,2024-11-24,Part Truckload (PTL),IT Infrastructure (Servers),CAPEX,Vanderlande Sorters,437691.12,420924.32
GL-855502,2024-06-19,Corporate HQ,Automated Sorter Systems,CAPEX,Blue Yonder,365525.8,352512.45
GL-294666,2024-10-10,Part Truckload (PTL),Automated Sorter Systems,CAPEX,Indian Oil Corp,346958.49,339191.85
GL-934438,2025-07-19,Cross-Border,Automated Sorter Systems,CAPEX,Local Fleet Operator B,473732.82,465497.22
GL-137661,2024-06-29,Express Parcel (B2C),Cloud Hosting (Orion Platform),OPEX,Reliance BP Mobility,370438.67,394412.68
GL-495654,2026-02-11,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,Local Fleet Operator A,89383.5,93450.82
GL-337824,2024-07-13,Express Parcel (B2C),IT Infrastructure (Servers),CAPEX,Indian Oil Corp,112909.52,109249.03
GL-520759,2025-06-29,Part Truckload (PTL),IT Infrastructure (Servers),CAPEX,Vanderlande Sorters,29267.21,28295.77
GL-254334,2026-03-20,Supply Chain Services,Material Handling Equipment (AGVs),CAPEX,Vanderlande Sorters,197463.02,191105.83
GL-774968,2024-04-23,Cross-Border,Cloud Hosting (Orion Platform),OPEX,Indian Oil Corp,457472.49,488017.21
GL-785870,2026-02-23,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Vanderlande Sorters,258525.81,270170.1
